time,h
19:09:45,0.622222
19:09:46,4.133333
19:09:47,7.600000
19:09:48,11.117778
19:09:49,14.217778
19:09:50,17.684444
19:09:51,20.802222
19:09:52,24.666667
19:09:53,27.784444
19:09:54,31.284444
19:09:55,34.382222
19:09:56,37.866667
19:09:57,41.368889
19:09:58,44.484444
19:09:59,47.688889
19:10:00,51.204444
19:10:01,54.671111
19:10:02,57.773333
19:10:03,61.288889
19:10:04,64.493333
19:10:05,68.011111
19:10:06,69.924444
19:10:07,73.691111
19:10:08,77.173333
19:10:09,80.675556
19:10:10,83.777778
19:10:11,87.000000
19:10:12,90.224444
19:10:13,93.337778
19:10:14,96.820000
19:10:15,100.320000
19:10:16,103.437778
19:10:17,106.902222
19:10:18,110.004444
19:10:19,111.595556
19:10:20,114.655556
19:10:21,118.120000
19:10:22,121.637778
19:10:23,124.844444
19:10:24,127.942222

