,h,S1,S2,S3,S4,S5,S6
0,-2.108889,70.49,131.39,1210.45,128.73,146.17,25.67
1,0.586667,71.29,120.39,1210.27,132.19,95.23,25.67
2,3.686667,70.91,3287.26,1210.48,129.13,144.39,25.71
3,7.204444,70.06,72.28,1210.38,127.86,146.07,25.66
4,10.668889,72.21,70.53,1210.63,129.55,144.38,26.09
5,13.502222,71.39,133.29,1210.28,129.99,107.94,26.01
6,15.466667,84.33,132.75,1210.33,130.09,92.03,25.67
7,18.395556,71.36,43.4,1210.08,129.13,97.9,25.7
8,21.897778,71.36,128.83,1210.13,129.12,146.52,25.68
9,25.38,70.95,79.16,1210.22,128.77,110.05,26.5
10,28.88,71.37,133.11,1210.26,129.2,146.54,25.69
11,31.726667,72.21,127.61,1210.38,129.2,144.37,26.1
12,35.193333,70.97,138.68,1210.21,103.88,95.84,25.71
13,38.035556,70.53,123.3,1210.06,104.79,91.42,25.65
14,41.911111,85.17,132.77,1209.99,107.28,93.29,25.64
15,45.011111,71.36,130.43,1210.07,106.46,146.64,25.68
16,48.255556,71.35,132.9,1210.1,106.33,146.14,25.67
17,51.722222,70.91,128.37,1210.12,103.31,144.82,25.67
18,52.624444,70.93,135.87,1210.34,129.2,145.25,26.1
19,49.382222,85.23,3135.5,1210.14,106.93,144.88,25.68
20,45.915556,71.33,128.74,1210.21,128.78,95.95,26.48
21,43.086667,83.88,129.99,1210.1,129.14,93.75,26.49
22,39.568889,70.91,130.01,1210.28,127.45,146.91,26.52
23,36.102222,71.34,125.95,1210.33,107.79,229.83,25.69
24,32.586667,70.95,135.95,1210.43,128.3,146.95,25.67
25,29.386667,71.79,133.91,1210.21,128.72,91.05,25.66
26,28.608889,70.93,80.06,1210.31,127.87,92.85,25.69
